property_id,list_date,market,property_type,beds,baths,sqft,age_years,lot_acres,school_score,crime_index,walk_score,median_household_income,mortgage_rate,list_price,sale_price,days_on_market,sold_flag,latitude,longitude,price_per_sqft,affordability_score,inventory_risk_segment
ATL-100000,2023-08-17,Roswell,Single Family,5,6.0,4352,23,0.39,71,16.9,5,98957,0.0653,593000,575000.0,21,True,34.001168,-84.34068,132.12,68.6,Hot
ATL-100001,2024-07-17,Atlanta,Single Family,2,1.0,1977,21,0.23,56,40.1,49,78883,0.0611,378000,361000.0,45,True,33.756652,-84.357138,182.6,83.3,Balanced
ATL-100002,2024-04-02,Johns Creek,Condo,2,1.5,1758,10,0.0,70,11.8,23,91258,0.0625,444000,458000.0,45,True,34.061495,-84.205851,260.52,78.0,Balanced
ATL-100003,2023-07-29,Sandy Springs,Single Family,4,3.0,2655,13,0.47,71,15.5,36,135432,0.0652,606000,,65,False,33.959167,-84.422956,228.25,83.3,Soft
ATL-100004,2023-06-28,Roswell,Single Family,5,5.5,3875,24,0.49,81,21.6,46,81038,0.0659,712000,697000.0,49,True,34.010326,-84.351236,179.87,37.8,Soft
ATL-100005,2025-05-14,Decatur,Single Family,3,2.5,2391,18,0.31,45,16.7,80,78610,0.0553,561000,550000.0,77,True,33.785354,-84.284406,230.03,58.2,Soft
ATL-100006,2023-03-03,Atlanta,Single Family,5,4.5,4425,67,0.14,61,43.2,49,46436,0.0623,456000,465000.0,26,True,33.743367,-84.415414,105.08,23.2,Balanced
ATL-100007,2024-03-23,Alpharetta,Condo,6,5.0,4283,28,0.0,80,37.4,18,87270,0.0641,731000,742000.0,50,True,34.085658,-84.319102,173.24,39.3,Soft
ATL-100008,2025-10-31,Johns Creek,Single Family,4,4.0,2849,19,0.13,88,33.0,51,154832,0.061,730000,715000.0,50,True,34.029355,-84.147726,250.97,82.8,Soft
ATL-100009,2023-02-24,Decatur,Single Family,4,3.5,3127,29,0.44,58,9.8,50,96984,0.0629,556000,572000.0,47,True,33.776837,-84.336304,182.92,68.3,Soft
ATL-100010,2024-02-12,Smyrna,Condo,5,5.0,4115,43,0.0,99,44.0,73,83878,0.0627,476000,473000.0,32,True,33.886766,-84.576997,114.95,71.2,Balanced
ATL-100011,2025-05-09,Norcross,Single Family,1,1.0,924,25,0.17,75,19.2,41,79957,0.0594,358000,353000.0,47,True,33.956673,-84.236663,382.03,85.5,Soft
ATL-100012,2025-07-08,Johns Creek,Single Family,2,2.0,1625,76,0.2,70,49.2,44,88521,0.0657,648000,617000.0,75,True,34.09343,-84.154258,379.69,55.7,Soft
ATL-100013,2024-07-23,Decatur,Single Family,2,1.0,1720,84,0.03,56,25.0,38,113280,0.0563,458000,461000.0,25,True,33.85698,-84.330653,268.02,90.1,Balanced
ATL-100014,2023-11-23,Atlanta,Single Family,2,2.0,2221,34,0.76,54,67.6,26,75812,0.0644,371000,,55,False,33.732741,-84.408628,167.04,78.9,Soft
ATL-100015,2025-05-15,Norcross,Single Family,7,6.0,5383,45,0.09,54,20.0,56,111610,0.0602,740000,756000.0,37,True,33.930341,-84.222986,140.44,59.3,Balanced
ATL-100016,2024-07-23,Duluth,Condo,5,4.0,4276,13,0.0,74,35.5,37,60157,0.0623,441000,452000.0,33,True,34.017353,-84.16433,105.71,50.7,Balanced
ATL-100017,2024-03-16,Sandy Springs,Single Family,2,1.0,1905,44,0.48,52,11.1,26,110517,0.0632,583000,586000.0,32,True,33.941695,-84.402253,307.61,74.7,Balanced
ATL-100018,2023-07-29,Duluth,Townhome,6,5.5,4898,42,0.28,83,39.5,72,62885,0.0655,464000,478000.0,38,True,33.97351,-84.165579,97.59,48.9,Balanced
ATL-100019,2025-02-17,Alpharetta,Single Family,3,3.0,3387,54,0.19,86,45.7,49,112221,0.0617,879000,913000.0,7,True,34.085047,-84.284345,269.56,44.0,Hot
ATL-100020,2025-01-05,Alpharetta,Single Family,3,2.5,2661,71,0.33,73,35.5,20,112010,0.0625,724000,741000.0,58,True,34.087031,-84.320297,278.47,60.5,Soft
ATL-100021,2024-06-25,Duluth,Single Family,7,6.0,5644,16,0.43,48,45.3,52,76121,0.0628,532000,506000.0,75,True,34.002385,-84.116726,89.65,60.1,Soft
ATL-100022,2025-07-29,Atlanta,Single Family,5,4.5,3803,14,0.37,67,53.5,42,89584,0.0599,497000,497000.0,15,True,33.817765,-84.386766,130.69,72.9,Hot
ATL-100023,2023-09-13,Smyrna,Single Family,3,2.5,2442,45,0.45,61,13.3,95,72474,0.0595,413000,418000.0,44,True,33.849871,-84.511618,171.17,70.6,Balanced
ATL-100024,2023-06-11,Lawrenceville,Single Family,3,2.5,2514,15,0.18,86,38.6,37,110078,0.0623,364000,380000.0,29,True,33.925553,-84.036298,151.15,95.3,Balanced
ATL-100025,2024-08-23,Smyrna,Townhome,5,4.0,3565,21,0.16,40,36.2,64,77216,0.0629,454000,436000.0,54,True,33.955416,-84.457714,122.3,71.0,Soft
ATL-100026,2025-01-10,Roswell,Single Family,3,2.5,1383,23,0.22,85,8.1,36,53568,0.0594,524000,537000.0,17,True,34.041743,-84.311145,388.29,23.8,Hot
ATL-100027,2024-01-29,Decatur,Single Family,6,5.5,4522,42,0.76,71,23.1,50,69916,0.0636,682000,692000.0,1,True,33.816842,-84.310583,153.03,24.1,Hot
ATL-100028,2023-05-23,Norcross,Single Family,4,2.0,2996,27,0.47,70,37.3,14,103018,0.0634,366000,361000.0,58,True,33.925122,-84.243245,120.49,94.5,Soft
ATL-100029,2024-04-11,Atlanta,Single Family,2,2.5,2183,25,0.47,65,30.3,50,86923,0.065,393000,397000.0,66,True,33.721917,-84.431563,181.86,82.4,Soft
ATL-100030,2023-06-13,Peachtree Corners,Single Family,6,5.5,5595,28,0.28,79,36.7,45,83701,0.0588,731000,769000.0,10,True,33.935464,-84.226003,137.44,33.1,Hot
ATL-100031,2023-07-26,Johns Creek,Multi-Family,5,3.0,4282,29,0.21,87,5.0,34,128190,0.0671,876000,847000.0,29,True,34.028667,-84.24477,197.8,59.4,Balanced
ATL-100032,2024-07-23,Lawrenceville,Single Family,5,3.5,3922,18,0.24,96,28.7,38,78493,0.0628,550000,,80,False,33.947276,-83.93526,140.23,56.1,Soft
ATL-100033,2025-01-17,Marietta,Single Family,4,3.5,3077,29,0.38,55,49.0,52,105702,0.0649,404000,397000.0,49,True,33.909826,-84.524945,129.02,91.3,Soft
ATL-100034,2025-01-28,Sandy Springs,Single Family,5,3.5,3963,45,0.22,49,49.2,18,97857,0.0673,598000,627000.0,27,True,33.869029,-84.392372,158.21,61.5,Balanced
ATL-100035,2024-03-05,Duluth,Condo,4,3.5,3248,25,0.0,67,53.9,48,65920,0.0603,404000,,48,False,33.975659,-84.201636,124.38,66.4,Soft
ATL-100036,2024-06-30,Roswell,Single Family,4,4.0,3357,55,0.14,83,26.1,50,87055,0.0525,637000,643000.0,13,True,33.996762,-84.414941,191.54,54.6,Hot
ATL-100037,2023-05-27,Norcross,Single Family,5,4.0,3810,35,0.19,69,58.7,36,103134,0.0592,389000,410000.0,35,True,33.939546,-84.188729,107.61,90.4,Balanced
ATL-100038,2023-12-17,Decatur,Townhome,4,3.0,2565,27,0.35,74,34.7,75,96512,0.0638,410000,,38,False,33.779485,-84.334137,159.84,86.2,Balanced
ATL-100039,2024-05-16,Smyrna,Condo,7,6.0,4479,42,0.0,70,22.3,78,60213,0.0613,488000,503000.0,23,True,33.893247,-84.483263,112.3,41.7,Balanced
ATL-100040,2025-08-04,Sandy Springs,Single Family,1,1.0,1747,22,0.68,78,31.8,11,78069,0.0585,605000,594000.0,9,True,33.862721,-84.415559,340.01,50.6,Hot
ATL-100041,2024-07-06,Lawrenceville,Townhome,4,4.5,3225,31,0.42,80,47.5,12,80553,0.0599,392000,,26,False,33.943131,-84.028975,121.55,80.4,Balanced
ATL-100042,2024-03-25,Roswell,Townhome,4,3.5,2548,72,0.88,74,35.0,46,101755,0.0586,515000,508000.0,10,True,33.993768,-84.36189,199.37,79.3,Hot
ATL-100043,2024-10-26,Roswell,Single Family,3,1.0,1974,61,0.34,85,50.2,47,71454,0.0644,647000,649000.0,49,True,34.060534,-84.320675,328.77,32.8,Soft
ATL-100044,2024-04-14,Atlanta,Single Family,5,4.5,3896,61,0.16,72,46.8,54,79071,0.0653,513000,525000.0,19,True,33.80133,-84.380523,134.75,59.5,Hot
ATL-100045,2024-10-08,Atlanta,Single Family,7,6.0,5241,28,0.21,69,33.6,77,47013,0.0598,675000,644000.0,34,True,33.729568,-84.32216,122.88,5.0,Balanced
ATL-100046,2024-07-02,Lawrenceville,Single Family,4,4.0,3664,59,0.64,75,26.8,67,56528,0.0559,569000,558000.0,47,True,33.912396,-83.937368,152.29,26.4,Soft
ATL-100047,2024-03-08,Alpharetta,Condo,6,6.0,4805,16,0.0,81,30.4,49,113115,0.0678,696000,676000.0,27,True,34.064337,-84.289616,140.69,66.1,Balanced
ATL-100048,2024-10-06,Decatur,Single Family,4,3.0,3047,20,0.1,76,37.4,64,58693,0.0618,740000,,37,False,33.837157,-84.289007,242.86,5.0,Balanced
ATL-100049,2025-10-19,Johns Creek,Single Family,2,1.0,1744,19,0.88,85,21.1,47,144386,0.0657,648000,658000.0,43,True,34.052751,-84.161866,377.29,82.3,Balanced
